system   D            wsystem.c:583  maybe_parent_dir                 [   0.00071] Also searching D:\CPP\ants\
display  D   display_settings.c:357  _al_score_display_settings       [   0.02913] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02914] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02915] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02916] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02917] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02918] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02919] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02920] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02921] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02922] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02924] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02925] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02926] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02927] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02928] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02929] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02930] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02931] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02932] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02933] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02934] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02935] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02936] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02937] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02941] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02942] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02943] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02944] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02946] Single Buffer requirement not met.
